drug_id,drug_name,standardized_ingredient,drug_class
308,valganciclovir,valganciclovir hydrochloride,Cytomegalovirus Nucleoside Analog DNA Polymerase Inhibitor
309,promethazine hydrochloride and phenylephrine hydrochloride,phenylephrine hydrochloride,Phenothiazine
310,methamphetamine hydrochloride,methamphetamine hydrochloride,Amphetamine Anorectic
311,fentanyl citrate,fentanyl citrate,Opioid Agonist
312,januvia,sitagliptin phosphate,Dipeptidyl Peptidase 4 Inhibitor
313,trintellix,vortioxetine hydrobromide,UNKNOWN_CLASS
314,ambrisentan,ambrisentan,Endothelin Receptor Antagonist
315,movantik,naloxegol oxalate,Opioid Antagonist
316,k phos original,"potassium phosphate, monobasic",UNKNOWN_CLASS
317,caffeine citrate,caffeine citrate,Central Nervous System Stimulant
318,dexamethasone sodium phosphate,dexamethasone sodium phosphate,Corticosteroid
319,prochlorperazine edisylate,prochlorperazine edisylate,Phenothiazine
320,gemcitabine,gemcitabine hydrochloride,Nucleoside Metabolic Inhibitor
321,methylprednisolone sodium succinate,methylprednisolone sodium succinate,Corticosteroid
322,atracurium besylate,atracurium besylate,Nondepolarizing Neuromuscular Blocker
323,ceftaroline fosamil,ceftaroline fosamil,Cephalosporin Antibacterial
324,doxorubicin hydrochloride,doxorubicin hydrochloride,Anthracycline Topoisomerase Inhibitor
325,intralipid,soybean oil,Lipid Emulsion
326,daptomycin in sodium chloride,daptomycin,Lipopeptide Antibacterial
327,levophed,norepinephrine bitartrate,Catecholamine
328,heparin sodium,heparin sodium,Anti-coagulant
329,magnesium sulfate,magnesium sulfate heptahydrate,Calculi Dissolution Agent
330,cytarabine,cytarabine,Nucleoside Metabolic Inhibitor
331,levoleucovorin,levoleucovorin calcium,Folate Analog
332,succinylcholine chloride,succinylcholine chloride,Depolarizing Neuromuscular Blocker
333,zaltrap,aflibercept,Vascular Endothelial Growth Factor Inhibitor
334,tigecycline,tigecycline,Tetracycline-class Antibacterial
335,foscarnet,foscarnet sodium,Pyrophosphate Analog DNA Polymerase Inhibitor
336,mitomycin,mitomycin,Alkylating Drug
337,micafungin,micafungin sodium,Echinocandin Antifungal
338,tobramycin,tobramycin sulfate,Aminoglycoside Antibacterial
339,calcium chloride,calcium chloride,Blood Coagulation Factor
340,fludeoxyglucose f18,fludeoxyglucose f-18,Radioactive Diagnostic Agent
341,cefazolin,cefazolin sodium,Cephalosporin Antibacterial
342,ampicillin,ampicillin sodium,Penicillin-class Antibacterial
343,sodium chloride,sodium chloride,Osmotic Laxative
344,neostigmine methylsulfate,neostigmine methylsulfate,Cholinesterase Inhibitor
345,irinotecan hydrochloride,irinotecan hydrochloride,Topoisomerase Inhibitor
346,decitabine,decitabine,Nucleoside Metabolic Inhibitor
347,sodium nitroprusside,sodium nitroprusside,Vasodilator
348,columvi,glofitamab,Bispecific CD20-directed CD3 T Cell Engager
349,sezaby,phenobarbital sodium,UNKNOWN_CLASS
350,ceftriaxone and dextrose,ceftriaxone sodium,Cephalosporin Antibacterial
351,potassium chloride in dextrose and sodium chloride,"dextrose, unspecified form",Osmotic Laxative
352,rocuronium,rocuronium bromide,Nondepolarizing Neuromuscular Blocker
353,nelarabine,nelarabine,Nucleoside Metabolic Inhibitor
354,clindamycin,clindamycin phosphate,Lincosamide Antibacterial
355,mannitol,mannitol,Osmotic Diuretic
356,meropenem,meropenem,Penem Antibacterial
357,oxaliplatin,oxaliplatin,Platinum-based Drug
358,protopam chloride,pralidoxime chloride,Cholinesterase Reactivator
359,sodium phosphates,"sodium phosphate, dibasic, anhydrous",Osmotic Laxative
360,esmolol hydrochloride,esmolol hydrochloride,beta-Adrenergic Blocker
361,ephedrine sulfate,ephedrine sulfate,Norepinephrine Releasing Agent
362,palonosetron hydrochloride,palonosetron hydrochloride,Serotonin-3 Receptor Antagonist
363,cefepime,cefepime hydrochloride,Cephalosporin Antibacterial
364,azacitidine,azacitidine,Nucleoside Metabolic Inhibitor
365,simulect,basiliximab,Interleukin-2 Receptor Blocking Antibody
366,vasopressin in 0.9% sodium chloride,vasopressin,Decreased Diuresis
367,cisatracurium besylate,cisatracurium besylate,Nondepolarizing Neuromuscular Blocker
368,adrenalin (epinephrine in sodium chloride),epinephrine,Catecholamine
369,enalaprilat,enalaprilat,Angiotensin Converting Enzyme Inhibitor
370,calcium gluconate,calcium gluconate monohydrate,Blood Coagulation Factor
371,dextrose,dextrose monohydrate,UNKNOWN_CLASS
372,sodium phenylacetate and sodium benzoate,sodium benzoate,Nitrogen Binding Agent
373,zoledronic acid,zoledronic acid,Bisphosphonate
374,technetium tc 99m sestamibi,tetrakis(2-methoxyisobutylisocyanide)copper(i) tetrafluoroborate,UNKNOWN_CLASS
375,flyrcado,flurpiridaz f-18,Radioactive Diagnostic Agent
376,penicillin g potassium,penicillin g potassium,Penicillin-class Antibacterial
377,epoprostenol,epoprostenol sodium,Prostacycline Vasodilator
378,elevidys,delandistrogene moxeparvovec-rokl,UNKNOWN_CLASS
379,acetazolamide,acetazolamide sodium,Carbonic Anhydrase Inhibitor
